county_desc,race_code,DEM,GRE,LIB,NLB,REP,UNA
CARTERET,M,18.0,0.0,0.0,0.0,5.0,23.0
CARTERET,O,47.0,0.0,2.0,0.0,79.0,116.0
CARTERET,P,0.0,0.0,0.0,0.0,1.0,0.0
CARTERET,U,172.0,0.0,16.0,1.0,513.0,699.0
CARTERET,W,2168.0,3.0,92.0,11.0,7639.0,5560.0
CASWELL,A,5.0,0.0,1.0,0.0,1.0,4.0
CASWELL,B,1015.0,0.0,2.0,2.0,29.0,173.0
CASWELL,I,1.0,0.0,0.0,0.0,6.0,2.0
CASWELL,M,5.0,0.0,0.0,0.0,2.0,5.0
CASWELL,O,33.0,0.0,0.0,1.0,10.0,24.0
CASWELL,U,81.0,0.0,2.0,0.0,86.0,155.0
CASWELL,W,516.0,2.0,22.0,0.0,1040.0,1568.0
CATAWBA,A,187.0,0.0,2.0,4.0,129.0,550.0
CATAWBA,B,2165.0,1.0,13.0,7.0,105.0,828.0
CATAWBA,I,9.0,0.0,0.0,0.0,17.0,26.0
CATAWBA,M,31.0,0.0,0.0,0.0,25.0,53.0
CATAWBA,O,447.0,0.0,11.0,7.0,320.0,869.0
CATAWBA,P,0.0,0.0,0.0,0.0,0.0,2.0
CATAWBA,U,419.0,0.0,22.0,0.0,839.0,1642.0
CATAWBA,W,3944.0,5.0,193.0,28.0,13616.0,9762.0
CHATHAM,A,124.0,0.0,2.0,1.0,52.0,177.0
CHATHAM,B,1471.0,0.0,2.0,3.0,50.0,428.0
CHATHAM,I,20.0,0.0,0.0,0.0,12.0,12.0
CHATHAM,M,36.0,1.0,2.0,0.0,10.0,32.0
CHATHAM,O,230.0,0.0,10.0,6.0,96.0,346.0
CHATHAM,P,0.0,0.0,0.0,0.0,1.0,1.0
CHATHAM,U,671.0,0.0,20.0,0.0,409.0,939.0
CHATHAM,W,4328.0,5.0,89.0,6.0,4041.0,7620.0
CHEROKEE,A,5.0,0.0,0.0,0.0,6.0,14.0
CHEROKEE,B,59.0,0.0,1.0,0.0,10.0,26.0
CHEROKEE,I,11.0,0.0,0.0,0.0,14.0,8.0
CHEROKEE,M,2.0,0.0,0.0,0.0,3.0,6.0
CHEROKEE,O,12.0,0.0,1.0,0.0,26.0,33.0
CHEROKEE,U,53.0,0.0,1.0,1.0,117.0,141.0
CHEROKEE,W,974.0,0.0,56.0,3.0,4004.0,2252.0
CHOWAN,A,0.0,0.0,0.0,0.0,1.0,0.0
CHOWAN,B,970.0,0.0,2.0,1.0,23.0,202.0
CHOWAN,I,1.0,0.0,0.0,0.0,3.0,5.0
CHOWAN,M,2.0,0.0,0.0,0.0,1.0,7.0
CHOWAN,O,10.0,0.0,1.0,0.0,11.0,19.0
CHOWAN,P,0.0,0.0,0.0,0.0,1.0,0.0
CHOWAN,U,29.0,0.0,3.0,0.0,53.0,133.0
CHOWAN,W,502.0,0.0,10.0,2.0,1031.0,727.0
CLAY,A,2.0,0.0,0.0,0.0,1.0,6.0
CLAY,B,4.0,0.0,1.0,0.0,7.0,7.0
CLAY,I,0.0,0.0,1.0,0.0,4.0,2.0
CLAY,M,0.0,0.0,0.0,0.0,1.0,3.0
CLAY,O,3.0,0.0,0.0,0.0,9.0,13.0
CLAY,U,28.0,0.0,1.0,0.0,88.0,39.0
CLAY,W,340.0,0.0,13.0,1.0,1806.0,1179.0
CLEVELAND,A,19.0,0.0,1.0,1.0,32.0,71.0
CLEVELAND,B,3259.0,2.0,6.0,3.0,119.0,769.0
CLEVELAND,I,7.0,0.0,0.0,1.0,10.0,13.0
CLEVELAND,M,29.0,0.0,0.0,0.0,12.0,24.0
CLEVELAND,O,100.0,0.0,7.0,0.0,105.0,184.0
CLEVELAND,P,0.0,0.0,0.0,0.0,1.0,0.0
CLEVELAND,U,275.0,0.0,12.0,3.0,861.0,821.0
CLEVELAND,W,2423.0,3.0,103.0,7.0,7831.0,6355.0
COLUMBUS,A,8.0,0.0,0.0,0.0,7.0,8.0
COLUMBUS,B,2527.0,0.0,3.0,1.0,83.0,566.0
COLUMBUS,I,184.0,0.0,4.0,0.0,63.0,69.0
COLUMBUS,M,15.0,0.0,1.0,0.0,2.0,13.0
COLUMBUS,O,53.0,2.0,1.0,0.0,39.0,81.0
COLUMBUS,P,1.0,0.0,0.0,0.0,0.0,1.0
COLUMBUS,U,190.0,0.0,1.0,0.0,305.0,361.0
COLUMBUS,W,1678.0,0.0,23.0,0.0,2792.0,2805.0
CRAVEN,A,106.0,0.0,2.0,0.0,106.0,205.0
CRAVEN,B,3547.0,0.0,8.0,11.0,215.0,1085.0
CRAVEN,I,13.0,0.0,0.0,0.0,21.0,20.0
CRAVEN,M,36.0,0.0,1.0,0.0,20.0,45.0
CRAVEN,O,219.0,1.0,9.0,3.0,233.0,350.0
CRAVEN,P,0.0,0.0,0.0,0.0,1.0,2.0
CRAVEN,U,297.0,1.0,12.0,1.0,349.0,855.0
CRAVEN,W,3038.0,6.0,157.0,15.0,7329.0,6775.0
CUMBERLAND,A,267.0,1.0,8.0,4.0,282.0,609.0
CUMBERLAND,B,19409.0,16.0,103.0,45.0,804.0,6450.0
CUMBERLAND,I,199.0,0.0,9.0,0.0,227.0,328.0
CUMBERLAND,M,340.0,0.0,6.0,0.0,97.0,337.0
CUMBERLAND,O,1475.0,3.0,39.0,17.0,971.0,2246.0
CUMBERLAND,P,8.0,0.0,0.0,0.0,7.0,11.0
CUMBERLAND,U,2092.0,0.0,104.0,3.0,1234.0,3535.0
CUMBERLAND,W,5258.0,15.0,306.0,28.0,12589.0,10894.0
CURRITUCK,A,4.0,0.0,0.0,0.0,10.0,25.0
CURRITUCK,B,200.0,0.0,2.0,0.0,20.0,117.0
CURRITUCK,I,1.0,0.0,0.0,0.0,4.0,12.0
CURRITUCK,M,5.0,0.0,1.0,0.0,8.0,15.0
CURRITUCK,O,28.0,0.0,2.0,2.0,39.0,87.0
CURRITUCK,P,0.0,0.0,0.0,0.0,0.0,1.0
CURRITUCK,U,50.0,0.0,6.0,0.0,75.0,323.0
CURRITUCK,W,746.0,1.0,68.0,10.0,3463.0,3036.0
DARE,A,12.0,0.0,0.0,0.0,10.0,20.0
DARE,B,101.0,0.0,2.0,0.0,3.0,69.0
DARE,I,5.0,0.0,0.0,0.0,4.0,2.0
DARE,M,6.0,0.0,1.0,0.0,7.0,11.0
DARE,O,55.0,1.0,2.0,0.0,46.0,134.0
DARE,P,0.0,0.0,0.0,0.0,1.0,0.0
DARE,U,135.0,0.0,9.0,0.0,126.0,328.0
DARE,W,2189.0,2.0,100.0,4.0,3861.0,3982.0
DAVIDSON,A,97.0,0.0,1.0,1.0,64.0,144.0
DAVIDSON,B,2512.0,0.0,10.0,8.0,109.0,853.0
DAVIDSON,I,14.0,0.0,0.0,0.0,30.0,30.0
DAVIDSON,M,28.0,0.0,0.0,0.0,11.0,36.0
DAVIDSON,O,339.0,1.0,15.0,12.0,211.0,468.0
DAVIDSON,P,0.0,0.0,0.0,0.0,1.0,0.0
DAVIDSON,U,557.0,0.0,24.0,1.0,1195.0,1324.0
DAVIDSON,W,3407.0,6.0,155.0,24.0,17748.0,11030.0
DAVIE,A,4.0,0.0,0.0,0.0,13.0,31.0
DAVIE,B,402.0,0.0,1.0,1.0,30.0,181.0
DAVIE,I,0.0,0.0,0.0,0.0,4.0,10.0
DAVIE,M,11.0,0.0,0.0,0.0,5.0,12.0
DAVIE,O,81.0,1.0,1.0,2.0,59.0,98.0
DAVIE,U,137.0,0.0,12.0,0.0,297.0,414.0
DAVIE,W,829.0,3.0,38.0,16.0,4686.0,3274.0
DUPLIN,A,7.0,0.0,0.0,0.0,6.0,12.0
DUPLIN,B,1894.0,0.0,11.0,1.0,94.0,583.0
DUPLIN,I,5.0,0.0,0.0,0.0,6.0,14.0
DUPLIN,M,14.0,0.0,0.0,0.0,3.0,19.0
DUPLIN,O,176.0,2.0,5.0,1.0,92.0,283.0
DUPLIN,U,321.0,1.0,4.0,0.0,219.0,559.0
DUPLIN,W,945.0,1.0,30.0,6.0,2999.0,2281.0
DURHAM,A,1083.0,1.0,13.0,4.0,245.0,1287.0
DURHAM,B,19405.0,6.0,73.0,39.0,395.0,5661.0
DURHAM,I,96.0,0.0,1.0,0.0,16.0,80.0
DURHAM,M,552.0,1.0,7.0,0.0,47.0,372.0
DURHAM,O,1687.0,3.0,27.0,12.0,311.0,1483.0
